"R17"	"R8"	"R2"	"R6"	"R3"	"R12"	"R15"	"R4"	"R13"	"R20"	"R1"	"R14"	"R19"	"R11"	"R5"	"R10"	"R18"	"R16"	"R9"	"R7"	"R53"	"R46"	"R47"	"R56"	"R59"	"R48"	"R50"	"R43"	"R49"	"R58"	"R42"	"R52"	"R44"	"R41"	"R57"	"R45"	"R51"	"R60"	"R55"	"R54"	"R22"	"R35"	"R34"	"R26"	"R31"	"R28"	"R27"	"R24"	"R21"	"R40"	"R36"	"R38"	"R33"	"R37"	"R29"	"R25"	"R32"	"R30"	"R23"	"R39"	"R73"	"R79"	"R80"	"R64"	"R78"	"R77"	"R68"	"R67"	"R65"	"R66"	"R62"	"R74"	"R61"	"R72"	"R75"	"R69"	"R63"	"R70"	"R71"	"R76"
"FECE"	0	2	1	13	4	0	0	4	4	9	6	0	2	4	7	3	4	24	0	0	44	2	0	0	2	9	4	2	0	0	12	2	6	8	10	0	0	6	0	8	4	2	12	0	2	0	6	8	4	0	4	0	6	13	0	0	2	0	0	0	14	0	0	2	98	4	0	11	0	18	2	6	4	12	0	10	6	0	4	4
"FETA"	1	3	2	1	0	0	1	0	4	0	2	0	0	6	4	2	0	0	0	0	12	0	0	0	2	14	0	0	0	14	2	0	0	0	1	0	0	0	0	3	0	0	2	0	0	0	1	2	0	48	4	0	0	0	0	0	0	0	0	2	5	0	0	0	57	0	0	0	1	0	0	0	1	0	0	4	0	1	0	4
"FETB"	3	2	0	0	0	0	4	0	0	6	0	0	0	3	0	0	0	2	0	1	26	0	0	2	0	10	0	0	0	12	2	2	0	2	8	0	0	0	1	2	0	0	0	0	0	0	0	2	0	61	0	0	0	1	0	0	1	0	2	0	8	0	0	0	83	2	0	1	0	0	0	0	5	0	2	2	0	1	2	12
"FEXA"	2	0	14	4	2	0	2	10	12	37	4	0	0	6	2	0	0	10	0	0	4	0	4	0	2	2	2	2	2	0	14	4	0	2	0	0	2	0	0	10	2	2	2	0	0	0	0	0	2	0	6	0	10	2	0	2	0	0	4	0	0	0	0	0	0	0	0	2	2	0	2	2	4	10	0	12	0	2	0	8
"FEXB"	0	0	0	2	2	0	0	0	0	4	0	0	0	0	0	0	0	10	0	2	0	0	2	0	2	0	0	0	0	0	6	0	0	2	8	0	0	6	2	2	2	0	0	0	0	2	0	0	0	0	2	0	4	2	0	0	0	0	0	2	4	0	0	0	0	0	0	2	0	0	0	2	0	0	0	4	4	2	0	0
"FEZ"	0	0	0	0	0	0	0	2	2	4	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	4	0	2	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	8	0	2	2	0	0	2
"FIA"	2	0	4	0	0	0	2	0	2	4	0	4	0	2	8	0	0	2	0	0	14	0	0	0	12	0	0	0	0	0	2	0	2	0	0	0	2	0	0	0	0	0	2	0	0	0	6	0	0	0	2	0	0	6	0	2	2	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	4	0	6	0	2	0	2
"FIEF"	1	2	4	4	0	0	4	0	0	7	0	0	1	0	3	6	1	2	0	0	61	0	0	0	6	25	2	4	0	30	0	2	0	0	0	2	0	0	4	3	0	0	0	0	0	0	0	0	0	124	0	0	0	15	0	0	2	0	4	0	15	0	0	0	140	0	0	2	1	4	0	2	4	1	0	4	2	2	0	5
"FIM"	0	0	0	0	0	0	0	0	2	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	2	0	0	0	0	0	4
"FLOR"	0	1	551	8	1	0	14	477	13	13789	0	15	0	104	17	5	2	10	3	12	20	0	0	0	13	0	2	37	15	2	20	2	14	17	2	7	6	4	51	11	0	0	26	0	2	4	16	2	195	0	19	2	30	26	0	0	11	0	28	0	12	0	0	28	3	46	2	7	1	10	2	51	37	20	8	8	2	4	32	144
"FMRO"	4	2	0	0	0	0	2	2	2	4	0	8	2	4	8	0	6	2	0	0	2	0	0	0	2	0	0	0	0	2	10	0	6	6	2	0	0	0	0	0	2	0	6	0	2	0	4	0	8	2	2	0	0	4	0	0	2	0	0	0	6	0	0	0	2	2	0	0	0	2	0	0	0	0	0	2	0	2	0	4
"FOLC|RequiresSNPConfirmation"	4	7	8	10	1	0	9	2	0	14	0	8	0	4	6	2	0	16	2	2	2	2	0	0	6	2	0	4	2	2	24	4	11	10	12	8	6	9	2	12	0	0	6	0	0	4	2	0	6	0	4	6	6	2	2	0	2	0	2	2	8	0	0	0	2	4	0	0	2	8	0	4	7	10	2	14	4	0	8	8
"FOLP|RequiresSNPConfirmation"	24	20	15	54	12	4	40	10	56	162	12	63	8	47	57	15	25	83	9	14	71	12	11	4	51	24	7	25	16	29	132	30	51	78	63	9	6	31	50	111	16	18	47	6	6	16	34	12	87	78	42	16	38	44	4	0	21	12	33	8	127	0	0	8	334	40	10	39	9	46	18	83	31	67	6	71	21	32	37	178
"FOMA"	8	0	0	2	0	0	4	0	4	10	0	14	0	0	0	0	4	2	0	2	0	0	0	0	0	0	0	0	0	0	6	0	2	6	0	0	0	0	0	0	0	0	2	2	0	0	2	0	0	0	0	0	2	2	0	0	2	0	2	4	0	0	0	2	0	6	0	12	0	2	0	2	2	2	0	4	4	0	0	4
"FOMB"	2	0	0	0	0	0	0	0	4	0	0	4	0	2	8	4	4	4	4	0	0	0	0	0	6	0	0	2	0	2	0	2	6	10	0	0	2	0	0	2	0	0	2	4	0	0	4	0	2	4	2	0	0	2	0	0	0	0	6	0	6	0	0	0	2	0	2	4	0	6	0	0	2	4	0	4	0	0	2	6
"FONA"	2	2	2	0	0	0	4	0	4	14	0	0	0	14	4	0	0	8	0	0	0	2	0	0	6	0	0	2	0	0	2	0	0	0	0	0	0	2	2	8	2	4	0	0	2	0	0	0	4	0	2	0	0	2	0	0	0	0	0	0	0	0	0	2	2	0	0	4	0	0	0	4	4	4	0	6	0	2	2	6
"FOSA"	2	6	0	0	0	2	2	4	2	16	0	12	0	4	4	2	8	14	8	2	2	2	2	0	18	2	6	10	0	0	14	2	4	14	10	2	0	4	0	6	4	2	10	0	2	0	4	8	4	0	4	2	0	10	0	2	6	0	0	0	40	0	0	2	25	2	2	2	0	10	0	10	10	18	0	8	8	6	4	12
"FOSB"	0	0	0	2	0	0	6	0	8	12	0	0	2	12	4	0	2	8	2	0	0	0	4	0	10	0	0	6	2	0	5	0	0	2	6	0	0	4	4	12	6	4	4	0	0	6	0	0	8	0	0	0	0	0	0	0	0	0	0	6	10	0	0	0	10	2	2	0	2	8	2	6	6	12	0	12	6	0	0	10
"FOSC"	0	0	0	0	2	0	0	0	0	0	0	4	0	2	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0	2	0	0	0	0	0	0
"FOSD"	0	0	0	2	0	0	0	0	0	4	0	0	0	0	2	0	4	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	2	0	2	2	0	0	0	0	0	0	0
"FOSE"	0	0	0	0	0	2	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"FOSF"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
"FOSG"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	2	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2	0	0	0	2	0	0	0	0	0	0	4
"FOSX"	0	6	0	6	0	0	2	2	2	2	0	6	0	0	8	2	12	12	0	0	0	0	0	0	8	0	0	4	2	0	10	2	2	2	2	0	0	0	0	2	0	0	6	0	2	0	0	0	6	0	0	0	6	0	0	0	0	0	0	0	12	0	0	0	12	0	0	0	2	2	0	0	2	10	0	0	0	0	2	8
"FOX"	4	4	0	2	0	0	0	0	0	10	0	6	2	4	4	0	2	10	0	0	0	0	0	0	6	2	2	0	0	0	4	0	4	0	4	0	0	0	4	6	4	4	0	0	0	2	0	0	4	2	2	0	4	4	0	0	0	0	0	2	10	0	0	0	0	2	1	0	0	4	2	2	2	1	0	14	4	2	0	8
"FPH"	0	4	2	0	0	0	2	0	2	10	0	2	0	0	0	2	0	4	0	0	0	0	0	0	6	0	2	0	0	0	8	4	0	0	0	2	0	2	0	2	0	0	4	0	0	0	0	0	2	0	2	0	0	4	0	0	2	0	0	0	10	0	0	0	0	0	0	6	0	2	0	6	0	2	2	0	0	0	2	0
"FPTA"	0	2	4	6	4	0	4	0	10	25	2	14	0	8	8	0	2	6	0	0	0	2	0	0	4	2	0	0	2	0	14	2	4	10	12	0	0	4	2	18	2	0	6	2	0	0	4	4	9	0	8	0	4	10	0	0	0	0	2	2	6	0	0	0	134	6	0	2	2	10	2	8	0	8	2	10	0	10	4	16
"FPVA"	2	0	0	6	2	0	4	0	0	17	4	12	2	4	4	0	8	8	0	0	0	2	0	2	2	2	0	2	0	0	4	0	2	10	6	4	2	6	6	6	0	0	8	2	0	2	4	8	4	0	2	2	2	6	0	0	0	0	0	0	10	0	0	0	118	2	0	2	0	10	0	2	4	4	0	4	8	0	2	8
"FRI"	2	0	0	18	0	2	4	0	0	20	0	0	0	16	2	0	0	2	0	0	0	0	0	0	2	0	0	2	0	0	10	0	4	12	14	0	2	4	6	20	2	0	8	0	0	4	8	6	12	0	0	2	2	4	0	0	0	0	2	4	8	0	0	0	0	2	2	2	4	4	0	4	12	12	4	6	2	2	0	22
"FRNE"	0	0	0	2	2	0	2	2	6	7	4	8	2	2	0	0	2	0	0	1	0	4	0	0	0	0	0	6	0	0	0	0	0	0	2	0	2	2	0	6	0	2	8	0	0	0	4	2	2	0	0	0	0	2	0	0	0	0	0	0	2	0	0	0	2	2	0	0	0	2	0	2	3	6	0	1	2	2	0	14
"FTU"	0	0	0	4	0	0	0	0	4	2	0	2	0	0	0	2	6	2	0	0	0	0	0	0	4	4	0	0	2	0	0	0	0	0	0	2	0	2	0	8	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	8	0	0	0	0	4	2	0	0	4	0	2	0	2	0	0	2	0	0	6
"FURA"	0	0	0	6	0	0	0	0	0	4	0	1	0	0	0	0	0	0	0	0	0	0	2	0	2	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"FUSA|RequiresSNPConfirmation"	48	22	25	193	39	0	92	10	237	313	63	6	30	138	64	28	61	321	29	22	46	17	46	5	116	39	43	71	35	19	242	46	41	141	224	19	22	113	57	209	69	29	156	31	11	39	31	33	154	18	82	21	53	73	4	4	31	8	22	43	207	0	0	17	127	65	33	71	19	147	37	50	99	196	29	158	55	61	46	328
"FUSB"	0	0	0	6	0	0	2	0	4	4	0	0	0	2	2	0	0	2	0	0	0	0	0	0	0	0	0	0	2	0	4	0	0	0	2	0	0	2	2	4	0	0	0	0	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2	0	4	0	2	0	2	4	6	0	2	0	2	2	10
"FUSC"	0	2	0	8	0	0	0	0	2	2	0	0	0	0	0	2	2	0	0	0	0	0	0	0	4	0	0	2	0	0	4	0	0	0	4	0	0	2	0	6	0	0	0	0	0	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	4	2	0	4	2	0	4	4
"FUSD"	0	2	0	2	0	0	6	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	2	0	0	0	0	2	2	0	2	2	0	0	0	0	2	0	2	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	2	0	0	0	0	2	0	4	0	2	0	0	0	2
"FUSE|RequiresSNPConfirmation"	2	9	3	15	3	3	6	3	13	11	7	4	0	15	7	2	6	14	4	4	1	0	1	0	0	4	2	2	5	3	20	4	0	6	12	4	0	9	13	18	3	0	10	0	0	0	0	1	72	2	1	4	2	3	0	0	0	0	0	5	6	0	0	3	21	6	1	1	0	6	2	1	18	4	3	14	2	8	4	54
"FUSF"	2	0	0	4	0	0	2	0	4	10	2	0	0	2	0	0	2	6	0	0	4	4	0	0	0	0	0	0	2	0	2	0	0	2	4	0	0	2	8	2	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	4	0	0	0	0	0	2	0	0	4	0	0	0	0	2	4	0	2	0	0	0	4
"FUSH"	2	2	0	4	6	0	8	0	4	14	6	8	0	0	4	0	2	16	0	2	0	0	4	0	4	2	2	2	2	0	4	4	4	6	6	0	2	4	0	6	2	2	12	2	2	0	6	2	6	0	4	2	0	6	0	0	0	2	2	0	4	0	0	0	6	6	4	4	0	4	0	0	4	4	2	6	2	0	0	18
"G2ALT"	0	0	0	2	0	0	2	0	4	0	0	0	0	2	2	0	2	4	0	0	0	0	0	0	2	0	0	2	0	0	0	0	0	4	0	0	0	2	2	8	0	0	8	0	0	2	0	0	2	0	4	0	0	0	0	0	0	0	0	0	2	0	0	0	3	0	0	0	0	4	0	0	0	0	0	2	2	0	0	8
"GADA"	5	18	2	0	0	2	12	0	0	4	0	0	0	1	25	6	5	4	0	0	77	0	2	0	5	24	0	2	2	36	4	0	0	0	9	0	0	0	0	2	0	0	5	0	0	2	0	0	2	157	2	2	3	5	2	0	4	4	4	0	10	0	0	0	116	0	0	9	12	0	0	4	0	7	0	2	0	0	4	10
"GADB"	0	2	2	4	0	0	5	2	2	4	0	0	0	8	7	0	4	5	2	0	31	0	0	0	6	6	0	2	0	20	2	0	0	4	2	1	0	1	0	1	2	0	0	0	0	0	0	2	2	97	0	0	0	6	0	0	0	0	0	2	16	0	0	0	123	0	0	2	1	2	0	2	0	0	0	0	0	0	0	0
"GADC"	4	7	1	4	0	0	0	0	0	5	0	4	0	3	2	0	2	0	0	0	40	0	0	0	5	9	0	0	0	11	0	0	2	4	4	0	0	3	0	7	2	0	0	0	0	2	2	0	1	107	0	0	0	9	0	0	2	0	0	0	13	0	0	0	104	2	0	6	3	0	2	2	2	2	0	2	0	0	0	0
"GADE"	2	3	2	1	0	0	2	0	2	0	0	0	0	6	0	0	4	2	0	0	18	0	2	0	0	2	0	0	0	16	0	0	0	1	1	0	0	0	0	4	0	0	0	2	0	0	0	0	0	50	6	0	0	2	0	4	0	0	0	0	10	0	0	4	37	0	0	4	0	0	0	0	2	0	0	8	2	0	2	4
"GADW"	2	8	5	6	0	0	6	2	2	6	0	0	0	3	2	0	0	6	0	0	20	2	0	0	7	12	2	0	2	29	4	0	2	2	2	3	0	1	0	2	2	0	0	0	0	0	1	2	8	87	8	0	0	9	0	0	0	0	0	0	7	0	0	0	53	0	0	1	1	4	0	4	0	2	0	1	0	3	0	2
"GADX"	6	6	0	10	0	0	2	0	0	2	0	0	0	2	0	1	2	0	0	0	42	0	0	0	5	21	0	0	6	31	1	0	0	0	2	2	0	0	0	2	0	0	4	0	0	0	0	2	0	76	0	0	0	4	0	0	0	0	0	2	15	0	0	4	65	0	0	2	2	2	2	0	0	2	0	1	0	2	0	2
"GALE"	6	0	0	0	0	0	2	0	1	6	2	0	0	0	0	0	4	6	0	6	0	0	0	0	0	2	2	0	0	0	6	2	2	0	8	0	0	2	0	2	2	0	2	0	0	2	2	0	2	0	0	2	48	0	0	0	2	0	2	2	0	0	0	2	0	1	2	2	0	2	0	0	4	2	0	0	0	0	0	28
"GES"	2	0	12	8	2	0	12	38	2	275	0	153	0	20	8	2	0	14	2	13	13	2	2	0	10	2	0	12	17	0	28	2	11	17	5	0	0	4	9	9	3	2	3	2	0	2	7	0	36	0	5	0	3	18	0	0	0	0	33	2	14	0	0	3	2	22	4	14	0	2	0	14	14	9	13	8	0	5	2	127
"GESA"	0	0	0	2	0	0	0	4	4	3	0	4	2	0	0	0	0	8	0	0	2	0	0	0	0	0	0	0	2	0	6	0	0	2	6	0	0	0	0	6	2	0	4	0	0	0	2	0	2	0	0	0	0	0	0	0	2	0	4	2	2	0	0	0	89	0	0	8	2	0	0	2	2	2	0	2	2	0	0	6
"GESB"	4	0	0	8	0	0	7	0	10	17	2	6	0	6	8	2	2	18	0	0	4	0	0	0	4	0	0	2	2	2	16	0	6	4	12	0	0	4	2	4	0	0	8	0	0	0	7	8	12	0	4	0	2	4	0	0	0	0	2	0	16	0	0	0	270	4	2	4	0	2	0	6	6	10	0	8	0	2	2	11
"GESC"	0	4	0	0	2	0	0	2	2	4	2	2	2	2	0	0	2	2	0	0	0	0	0	0	6	0	0	0	0	0	0	0	2	2	0	2	0	2	4	4	0	0	0	0	0	0	0	0	4	0	4	0	0	0	0	0	0	0	0	0	2	0	0	0	129	0	0	0	0	0	2	2	2	4	0	2	2	0	0	4
"GIDB|RequiresSNPConfirmation"	0	0	0	2	0	0	0	0	2	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2	0	0
"GIL"	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	2	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	2	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	4
"GIM"	0	0	0	0	0	0	0	0	4	6	2	0	0	0	0	2	0	2	0	2	0	0	0	0	0	0	0	0	0	0	6	0	0	4	0	0	0	0	0	0	2	0	0	0	0	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	2	2	0	0	0	0	2	0	0
"GIMA"	0	2	4	2	0	2	12	2	2	12	4	10	0	2	6	2	0	2	0	0	0	0	0	0	4	4	0	0	0	0	10	6	6	4	2	0	0	0	0	4	0	4	0	0	0	0	4	0	2	0	8	0	0	4	2	2	0	0	0	0	14	0	0	0	6	0	2	2	0	2	0	4	0	12	0	8	0	0	0	6
"GLPF"	4	9	0	0	0	0	5	0	0	0	0	0	2	0	0	0	0	5	0	0	36	0	0	0	5	11	1	0	0	30	2	0	2	2	6	0	0	4	0	2	0	0	3	0	0	2	0	0	0	86	0	2	0	5	0	0	0	0	1	2	13	0	0	0	98	0	0	1	1	0	0	0	0	0	0	2	0	0	0	2
"GLPT|RequiresSNPConfirmation"	0	7	4	7	0	2	9	2	4	15	2	3	0	10	14	6	0	14	0	0	37	0	2	0	7	14	2	6	0	31	4	0	0	6	2	6	0	2	4	4	2	2	6	0	0	2	0	0	14	128	2	4	10	0	0	0	1	0	4	0	18	0	0	6	287	5	2	6	2	10	4	7	4	8	2	10	0	2	0	28
"GOB"	0	0	2	8	0	2	8	0	8	26	8	0	0	6	4	0	10	20	2	2	0	2	2	0	8	2	2	4	0	0	8	2	2	4	20	0	0	12	6	10	4	2	6	2	2	0	4	0	20	0	8	2	4	8	2	0	2	2	0	0	24	0	0	0	0	4	2	0	0	8	0	8	4	14	2	6	6	2	2	18
"GOLS"	0	0	0	0	0	0	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	6	0	0	0	2	0	0	2	0	0	0	40	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
"GOLT"	0	3	5	12	0	0	13	5	8	62	0	6	0	16	14	0	2	11	0	3	0	1	5	4	19	2	0	21	7	2	29	0	8	3	7	1	0	2	8	10	2	1	6	2	0	0	5	3	21	4	11	0	0	0	0	0	2	1	13	2	6	0	0	3	199	6	2	6	0	7	0	12	16	7	4	0	3	6	4	62
"GPC"	0	2	0	0	0	0	2	0	6	4	4	6	0	2	0	2	2	2	0	2	0	0	0	0	4	2	0	0	2	4	2	2	2	0	8	0	0	2	0	0	0	0	8	2	0	0	2	0	4	0	0	0	0	2	0	0	2	0	0	0	20	0	0	2	0	0	0	4	0	2	0	0	0	4	0	2	0	0	3	10
"GRD"	2	0	2	2	0	0	0	0	2	2	4	4	0	0	0	0	0	6	0	0	0	0	0	0	2	0	0	4	0	0	4	0	0	0	4	2	2	2	4	4	0	0	0	2	0	0	0	0	8	0	4	0	2	2	0	0	0	0	0	0	8	0	0	2	0	2	4	0	0	0	0	2	0	4	4	0	0	0	0	0
"GRM"	14	0	0	2	4	0	2	2	0	16	2	14	0	6	8	2	2	8	0	0	2	2	2	0	2	4	2	0	2	4	18	2	8	6	2	0	0	2	4	4	0	2	6	2	0	0	4	0	8	4	10	2	0	20	0	0	10	4	0	0	6	0	0	0	0	0	2	4	2	4	6	4	4	8	0	8	0	0	2	14
"GSHF|RequiresSNPConfirmation"	4	0	2	14	0	0	0	0	6	5	0	4	0	12	6	0	2	4	2	0	0	0	0	2	4	0	0	4	0	4	8	4	0	0	6	0	0	0	0	4	0	2	6	0	0	2	0	2	0	0	0	4	2	6	0	0	2	2	0	0	2	0	0	0	103	0	2	2	2	0	0	2	0	4	0	4	4	2	0	29
"GYRA|RequiresSNPConfirmation"	290	259	188	630	144	21	507	168	791	2180	263	583	102	889	545	138	465	1068	153	179	382	91	153	84	570	227	80	397	305	166	1431	212	585	889	1015	135	141	359	451	934	249	151	697	98	57	158	242	166	1265	343	557	156	361	546	11	28	142	29	445	181	947	0	2	116	1038	479	93	368	139	584	123	549	736	1035	182	966	229	287	268	2671
"GYRB|RequiresSNPConfirmation"	62	52	34	145	29	0	184	35	145	590	53	114	31	269	127	56	89	228	31	30	116	14	32	22	221	48	18	92	85	29	402	62	117	211	187	22	33	87	119	209	65	42	143	13	9	34	88	35	397	45	152	11	68	136	0	13	44	4	98	35	166	0	0	31	213	129	14	81	29	100	18	179	210	210	46	196	39	74	71	675
"GYRBA|RequiresSNPConfirmation"	71	65	34	64	23	6	77	31	101	396	34	116	15	133	113	36	50	163	10	32	144	7	21	12	128	73	9	74	57	88	251	37	106	156	138	22	35	45	80	176	40	15	117	10	9	24	44	41	280	322	96	26	69	92	2	3	19	8	48	16	200	0	0	17	275	95	24	62	35	76	22	122	101	154	34	156	41	63	40	603
"GYRC|RequiresSNPConfirmation"	2	0	0	0	0	0	4	0	6	19	0	0	0	10	6	6	4	1	0	0	7	2	2	0	14	2	0	3	5	1	8	4	2	5	0	0	1	6	8	8	0	2	6	0	0	0	1	4	20	0	1	2	2	2	0	0	0	0	6	0	2	0	0	0	4	4	0	2	2	2	2	4	20	4	2	4	0	6	4	30
"HASF"	0	0	0	2	0	0	2	6	2	10	2	2	0	2	2	0	4	2	0	0	0	0	2	0	6	2	0	2	0	2	4	0	4	6	4	0	2	2	0	6	2	0	2	0	0	0	0	0	8	8	0	0	0	2	0	0	0	0	0	0	6	0	0	0	8	0	0	0	0	4	0	2	2	7	0	2	0	0	0	6
"HDEB"	0	1	0	0	0	0	0	0	0	2	0	0	0	0	4	2	0	0	0	0	18	0	0	0	8	5	2	0	0	17	2	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	46	2	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
"HEFA"	0	0	0	0	0	2	2	2	2	2	0	0	0	4	0	0	0	0	0	0	0	0	2	2	0	0	0	4	0	0	0	0	0	0	4	4	0	2	0	0	0	4	2	0	0	0	0	0	0	0	2	0	0	4	0	0	0	0	4	0	18	0	0	0	0	0	0	0	0	6	2	2	0	0	2	2	2	0	0	22
"HEFC"	0	0	2	4	0	0	4	0	6	4	2	0	0	4	12	0	4	4	2	0	0	4	0	2	2	0	0	0	0	0	4	2	2	8	2	2	0	2	8	8	0	0	2	0	2	2	0	2	4	0	0	0	0	2	0	2	0	0	2	8	4	0	0	0	0	4	0	2	0	10	0	8	16	8	0	6	0	0	0	8
"HERA"	2	0	0	0	0	0	0	0	6	8	0	2	0	2	0	0	0	0	0	0	0	0	2	0	2	0	0	0	4	0	2	0	0	0	0	0	0	2	0	2	0	0	2	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	2	2	2	2	4	0	2	0	0	0	16
"HLYD"	0	0	0	2	0	0	0	0	4	8	0	2	0	2	8	0	2	2	0	0	10	2	2	0	2	0	0	0	2	0	2	0	2	4	2	0	0	0	2	2	2	0	2	2	0	0	2	0	2	0	0	0	0	6	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	2	0	2	2	2	0	4	0	2	0	4
"HMB"	0	0	0	6	0	0	0	0	0	4	0	0	0	0	6	2	4	2	0	0	2	0	0	0	0	0	0	2	0	2	4	0	0	0	2	0	0	4	2	2	0	0	0	0	0	0	0	0	0	2	4	0	0	0	0	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0	4	2	0	0	0	0	0	0	2
"HMRM"	2	0	4	0	0	0	2	0	4	8	0	0	0	2	6	2	0	2	0	2	0	0	2	0	4	0	0	0	0	0	8	0	0	8	10	0	2	4	0	2	0	0	0	0	0	0	4	0	4	2	0	0	0	6	0	0	0	2	0	0	8	0	0	0	0	0	0	0	0	2	0	0	0	2	0	0	0	2	6	10
"HMRR"	0	0	0	2	2	0	2	0	2	15	0	0	0	4	2	0	0	2	0	4	0	0	0	0	0	0	0	0	2	0	4	0	0	4	2	0	0	0	2	0	0	0	0	0	0	0	0	2	10	0	0	0	0	2	0	0	2	0	0	0	4	0	0	0	0	2	0	2	0	2	0	0	0	2	0	2	0	2	2	14
"HNS"	1	2	2	2	0	0	0	0	0	2	0	2	0	0	2	0	0	2	0	0	14	2	0	0	0	9	3	0	0	5	3	0	0	4	1	1	0	2	0	4	0	0	4	0	0	2	2	0	2	29	0	0	0	2	0	0	0	0	0	0	5	0	0	0	57	0	0	2	0	2	0	0	0	12	0	2	0	0	0	0
"HOXN"	0	0	0	4	0	0	0	0	6	12	0	4	0	2	2	0	4	0	0	0	0	2	0	0	2	2	0	2	0	0	0	0	0	0	4	0	2	0	0	2	2	0	2	0	0	0	0	0	0	0	2	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	4	0	6	2	0	0	0	2	6
"HP"	2	0	2	8	0	0	2	0	0	8	0	2	0	6	2	2	4	2	0	0	0	2	0	0	4	0	0	4	0	0	6	0	2	2	2	0	2	4	2	4	0	2	0	2	0	0	0	0	2	0	0	2	0	0	0	0	2	0	6	0	14	0	0	0	0	0	0	2	0	0	0	2	4	4	0	4	0	0	0	10
